X,Y,Z,Speed_kmh
1098.3098,-1851.9041,13.3721,79.2
1086.5532,-1846.4592,13.4212,73.0
1076.7693,-1838.7524,13.5554,71.2
1066.4670,-1831.6974,13.6179,75.8
1055.6006,-1824.0188,13.6237,78.9
1044.5610,-1815.4333,13.6014,81.4
1033.4319,-1806.9299,13.7584,84.8
1020.9667,-1799.3322,13.9001,88.0
1007.4760,-1792.6340,14.0064,91.0
992.6399,-1787.8983,14.0626,94.4
977.3892,-1783.8843,14.0850,93.3
969.0171,-1782.2209,14.0976,95.0
953.4252,-1779.2076,14.0609,95.5
945.4731,-1777.6561,13.8436,97.4
937.3323,-1776.0714,13.6342,99.3
929.1455,-1774.4814,13.4226,100.3
920.7703,-1773.0189,13.3642,101.4
912.4319,-1772.4054,13.3730,97.7
904.2591,-1771.9747,13.3737,98.2
895.9767,-1771.5227,13.3747,99.6
887.6730,-1771.0492,13.3742,99.4
879.2880,-1770.6752,13.3746,100.7
863.0134,-1770.3462,13.3742,100.3
854.5347,-1770.1742,13.3747,100.7
846.2039,-1769.9819,13.3761,97.7
830.2252,-1769.3373,13.3844,96.3
821.9830,-1768.9965,13.3889,97.7
806.3349,-1768.3494,13.4035,95.8
798.2999,-1767.9989,13.4167,94.4
782.3798,-1767.3494,13.0727,95.7
774.3932,-1766.5688,12.9079,94.5
758.4585,-1764.4620,12.8249,97.3
750.2501,-1763.3676,12.8211,97.7
742.4545,-1761.5298,13.3204,93.3
727.4481,-1757.4338,14.4680,92.7
712.5644,-1753.4231,14.4301,90.5
697.9676,-1749.3998,13.5154,86.0
683.9058,-1745.4631,13.3038,82.7
670.4527,-1741.7581,13.4384,80.4
657.7916,-1738.2988,13.4708,78.1
646.1317,-1733.5133,13.5217,70.8
637.8241,-1725.4773,13.9316,66.5
633.7253,-1714.7794,14.1315,70.3
631.7346,-1703.0145,14.7205,66.5
629.7708,-1692.6991,15.2096,61.1
625.0911,-1684.1367,15.5013,58.3
617.6504,-1678.5692,16.0066,54.6
608.3518,-1675.9833,15.9563,59.0
597.9694,-1674.6537,16.0012,66.3
586.2944,-1673.1343,16.5079,72.1
574.1921,-1671.6364,17.4717,73.7
562.1163,-1670.6272,18.1435,71.2
551.6942,-1666.9331,18.5142,62.2
545.2613,-1659.3420,18.6034,56.5
541.1912,-1651.2505,18.1269,52.6
537.7337,-1643.5238,17.6382,47.6
534.8329,-1635.8105,17.1659,52.9
531.3517,-1626.5961,16.7143,63.1
527.5212,-1615.6100,16.3140,72.1
523.9034,-1603.4312,16.0760,77.8
518.8904,-1591.1033,15.9679,80.7
512.8389,-1578.5688,15.9557,85.0
506.0267,-1565.8164,16.3270,87.8
498.6153,-1552.9166,17.3266,89.5
491.6962,-1539.5049,18.7377,89.7
486.4057,-1525.2426,19.8811,90.2
485.1326,-1517.3420,20.2524,90.9
484.8265,-1501.9340,20.3813,86.8
486.6500,-1487.6597,19.9242,84.2
489.3612,-1474.8070,19.1033,70.9
493.3138,-1464.1904,18.0366,58.2
498.4887,-1455.5919,16.8365,62.5
505.7772,-1448.4447,15.0704,56.2
514.2147,-1448.2418,14.9474,51.0
520.7169,-1454.3608,15.1583,56.6
526.8938,-1462.3835,14.8583,63.0
530.7770,-1472.5128,14.6248,68.3
532.8120,-1484.3976,14.3653,74.6
533.7929,-1497.2676,14.3085,79.2
534.1678,-1510.9259,14.3847,83.5
534.5858,-1525.3068,14.5036,87.6
535.0135,-1540.2648,14.9913,90.6
535.0953,-1555.5923,15.4813,89.4
534.9909,-1570.4313,15.9007,89.9
534.8975,-1585.8361,16.0015,93.7
534.7927,-1601.7484,15.9993,93.4
534.6935,-1617.0518,16.3638,91.4
534.5962,-1631.9006,16.9337,84.0
534.9221,-1645.5217,17.7543,76.3
539.5215,-1656.2103,18.4513,65.6
547.2153,-1663.8622,18.5226,67.8
557.3817,-1669.8140,18.3437,71.6
569.5229,-1672.1819,17.8265,76.8
582.8813,-1674.1946,16.7264,84.4
596.5493,-1675.9258,16.0539,79.0
607.4861,-1681.2916,15.9757,68.6
613.4707,-1691.4286,15.9661,72.2
619.9052,-1701.8795,15.1156,76.5
626.4607,-1713.4369,14.1725,82.0
634.2932,-1724.9242,13.9193,82.7
643.0461,-1735.7501,13.3748,85.8
654.0491,-1745.2330,13.5086,88.6
666.5745,-1753.5610,13.4510,90.8
680.7258,-1760.1486,13.3057,94.6
688.2133,-1762.9722,13.2370,95.9
695.9601,-1765.0503,13.5543,96.2
703.8323,-1766.9353,13.9193,96.7
711.5884,-1769.2361,14.1045,97.3
719.3829,-1771.8616,14.0103,98.8
727.2137,-1774.3630,13.9591,96.8
735.1312,-1776.4363,13.4358,98.7
743.2654,-1778.4261,12.9228,101.2
751.6706,-1779.7943,12.7953,102.3
760.1391,-1780.7184,12.8334,99.8
768.2619,-1781.6172,12.8711,95.4
784.1171,-1783.2250,13.0834,95.8
792.1526,-1783.3473,13.1831,94.9
807.8091,-1783.4817,13.4480,94.1
823.2117,-1783.5771,13.6851,89.8
837.5537,-1783.7589,13.7378,81.5
